City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kupang,75,ID,1548453600,94,-10.16,123.6,75.2,11.34
1,teeli,0,RU,1548455597,54,51.01,90.2,-14.53,2.39
2,busselton,0,AU,1548455597,100,-33.64,115.35,62.15,13.24
3,rikitea,36,PF,1548455597,100,-23.12,-134.97,79.84,13.13
4,vaini,8,IN,1548455597,85,15.34,74.49,54.37,2.06
5,georgetown,40,GY,1548453600,74,6.8,-58.16,80.6,9.17
6,punta arenas,20,CL,1548453600,43,-53.16,-70.91,51.8,28.86
7,camopi,68,GF,1548455598,89,3.17,-52.33,75.2,2.62
8,ushuaia,40,AR,1548453600,69,-54.81,-68.31,44.6,19.46
9,kodiak,90,US,1548453300,72,39.95,-94.76,33.98,12.75
10,port alfred,76,ZA,1548455599,92,-33.59,26.89,66.97,10.67
11,thompson,20,CA,1548453600,61,55.74,-97.86,-18.41,9.17
12,burnie,0,AU,1548455600,100,-41.05,145.91,63.32,10.67
13,capreol,75,CA,1548453600,70,46.71,-80.92,-4.01,5.82
14,kodinsk,80,RU,1548455600,85,58.6,99.18,4.91,2.73
15,east wenatchee bench,1,US,1548453300,75,47.43,-120.28,48.92,1.95
16,akureyri,75,IS,1548453600,92,65.68,-18.09,19.4,4.25
17,atuona,32,PF,1548455601,100,-9.8,-139.03,77.59,13.8
18,fortuna,0,ES,1548453600,50,38.18,-1.13,57.2,9.17
19,mandiana,0,GN,1548455602,39,10.62,-8.7,69.49,8.21
20,dikson,64,RU,1548455602,86,73.51,80.55,-2.56,13.47
21,presidencia roque saenz pena,0,AR,1548455602,62,-26.79,-60.44,89.92,8.43
22,baikunthpur,68,IN,1548455602,98,23.26,82.56,56.62,2.95
23,saint-augustin,90,FR,1548453600,81,44.83,-0.61,50.0,4.7
24,puerto madryn,0,AR,1548455603,55,-42.77,-65.04,71.69,14.47
25,san quintin,44,PH,1548455603,75,17.54,120.52,70.07,5.64
26,avarua,90,CK,1548453600,94,-21.21,-159.78,78.8,10.29
27,saint-philippe,40,CA,1548454560,53,45.36,-73.48,25.52,18.34
28,bubaque,12,GW,1548455604,94,11.28,-15.83,78.35,9.66
29,brae,56,GB,1548454800,86,60.4,-1.35,42.8,6.93
30,husavik,20,CA,1548455604,39,50.56,-96.99,-26.05,6.42
31,chuy,56,UY,1548455605,85,-33.69,-53.46,74.75,16.82
32,tasiilaq,8,GL,1548453000,41,65.61,-37.64,21.2,2.24
33,coahuayana,0,MX,1548455605,26,18.62,-100.35,79.43,2.17
34,jamestown,20,AU,1548455606,47,-33.21,138.6,79.61,3.96
35,deputatskiy,20,RU,1548455606,0,69.3,139.9,-43.87,2.28
36,araouane,80,ML,1548455606,42,18.9,-3.53,50.27,4.63
37,gurlan,0,UZ,1548453600,80,41.84,60.39,35.6,11.41
38,luganville,68,VU,1548455607,100,-15.51,167.18,78.8,7.43
39,qaanaaq,36,GL,1548455607,100,77.48,-69.36,-10.66,3.62
40,saldanha,0,PT,1548455607,79,41.42,-6.55,30.11,2.73
41,victoria,75,BN,1548453600,100,5.28,115.24,77.0,5.3
42,airai,44,TL,1548455608,91,-8.93,125.41,73.67,2.06
43,upernavik,64,GL,1548455608,100,72.79,-56.15,8.51,6.76
44,pisco,0,PE,1548453600,30,-13.71,-76.2,71.6,16.11
45,kaitangata,100,NZ,1548455608,98,-46.28,169.85,60.76,13.58
46,kirkwall,90,GB,1548454800,87,58.98,-2.96,42.8,13.87
47,saint george,75,GR,1548453000,93,39.45,22.34,44.6,2.62
48,hasaki,75,JP,1548453840,86,35.73,140.83,33.8,10.29
49,kazachinskoye,12,RU,1548455609,69,57.69,93.28,4.82,7.87
50,pochutla,40,MX,1548452400,74,15.74,-96.47,82.4,10.29
51,nanortalik,92,GL,1548455610,100,60.14,-45.24,29.21,33.93
52,bredasdorp,48,ZA,1548453600,82,-34.53,20.04,62.6,4.7
53,san cristobal,20,EC,1548453600,64,-0.39,-78.55,68.0,17.22
54,ruteng,100,ID,1548455611,100,-8.61,120.46,74.03,6.53
55,kanye,32,BW,1548455611,95,-24.98,25.34,64.36,2.84
56,hilo,1,US,1548453180,54,19.71,-155.08,82.04,5.82
57,albany,75,US,1548453240,62,42.65,-73.75,28.04,18.34
58,severo-kurilsk,32,RU,1548455612,100,50.68,156.12,24.98,7.2
59,shingu,0,JP,1548455612,100,33.72,135.99,46.4,21.3
60,sisimiut,0,GL,1548455612,100,66.94,-53.67,2.84,5.53
61,ponta do sol,80,BR,1548455613,57,-20.63,-46.0,73.58,10.78
62,nikolskoye,0,RU,1548453600,84,59.7,30.79,6.8,8.95
63,sobolevo,92,RU,1548455613,80,54.43,31.9,8.24,17.27
64,mehamn,0,NO,1548453000,85,71.03,27.85,21.2,10.29
65,provideniya,88,RU,1548455614,100,64.42,-173.23,15.71,13.47
66,nalut,0,LY,1548455614,65,31.86,10.98,39.92,12.46
67,castro,76,CL,1548453600,44,-42.48,-73.76,60.8,13.87
68,cape town,0,ZA,1548453600,64,-33.93,18.42,68.0,20.8
69,volax,92,GR,1548455615,96,41.32,24.0,36.32,2.06
70,kuryk,0,KZ,1548455615,100,43.18,51.68,30.11,4.41
71,butaritari,88,KI,1548455615,100,3.07,172.79,83.89,15.48
72,kyzyl-suu,8,KG,1548455615,100,42.34,78.0,8.47,5.41
73,simga,75,IN,1548450000,100,21.63,81.7,60.8,8.05
74,hobart,75,AU,1548453600,48,-42.88,147.33,64.4,9.17
75,klaksvik,48,FO,1548453000,80,62.23,-6.59,35.6,17.22
76,tiksi,48,RU,1548455617,39,71.64,128.87,-25.6,9.22
77,brisbane,75,AU,1548453600,83,-27.47,153.02,80.6,3.36
78,ballangen,75,NO,1548453000,57,68.34,16.83,21.2,18.34
79,djambala,20,CG,1548455617,96,-2.55,14.76,71.24,6.64
80,katsuura,75,JP,1548453600,69,33.93,134.5,41.0,14.99
81,lazaro cardenas,20,MX,1548452700,18,28.39,-105.62,64.4,9.17
82,mandurah,0,AU,1548453600,72,-32.55,115.7,59.0,8.05
83,torbay,90,CA,1548453600,100,47.66,-52.73,39.2,17.22
84,rio branco,40,BR,1548453600,78,-9.98,-67.82,82.4,3.36
85,kolokani,0,ML,1548455619,59,13.58,-8.03,58.06,3.96
86,loiza,40,PR,1548453360,71,18.43,-65.88,78.08,12.75
87,payakumbuh,92,ID,1548455619,98,-0.23,100.63,71.42,2.06
88,cidreira,32,BR,1548455620,86,-30.17,-50.22,75.92,15.7
89,henties bay,0,NA,1548455620,100,-22.12,14.28,60.67,4.07
90,kruisfontein,80,ZA,1548455620,92,-34.0,24.73,64.4,12.46
91,hermanus,44,ZA,1548455620,86,-34.42,19.24,59.59,6.42
92,vila velha,20,BR,1548453600,74,-3.71,-38.6,82.4,6.93
93,port macquarie,0,AU,1548453600,69,-31.43,152.91,82.4,4.7
94,russell,40,AR,1548453600,44,-33.01,-68.8,98.6,5.82
95,novobirilyussy,44,RU,1548455621,71,56.95,90.69,1.22,8.43
96,nyandoma,44,RU,1548455622,60,61.67,40.21,-6.88,3.85
97,puerto ayora,20,EC,1548453600,62,-0.74,-90.35,86.0,18.34
