,city,temp_max,date,country,lat,lon,hum,cloud,wind
0,marawi,67.2,1548522581,PH,8.0,124.29,100.0,92.0,2.46
1,mataura,53.74,1548522520,NZ,-46.19,168.86,91.0,0.0,9.4
2,thompson,-36.41,1548518400,CA,55.74,-97.86,65.0,5.0,8.05
3,saint-augustin,51.8,1548520200,FR,44.83,-0.61,81.0,90.0,12.75
4,dmitriyevka,40.38,1548522582,GE,43.08,41,100.0,100.0,3.91
5,busselton,61.08,1548522582,AU,-33.64,115.35,100.0,0.0,16.67
6,souillac,50.0,1548520200,FR,45.6,-0.6,87.0,75.0,11.41
7,jamestown,59.77,1548522315,AU,-33.21,138.6,86.0,92.0,7.72
8,victoria,75.2,1548520200,BN,5.28,115.24,100.0,75.0,3.36
9,marcona,,,,,,,,
10,hobart,60.8,1548520200,AU,-42.88,147.33,59.0,75.0,11.41
11,nanortalik,33.18,1548522584,GL,60.14,-45.24,95.0,92.0,7.16
12,tiksi,-29.6,1548522584,RU,71.64,128.87,48.0,48.0,6.26
13,novikovo,41.46,1548522584,UA,45.05,34.56,100.0,88.0,7.61
14,provideniya,13.83,1548522585,RU,64.42,-173.23,100.0,76.0,9.17
15,sabang,74.53,1548522585,PH,13.72,123.58,84.0,12.0,18.01
16,linares,89.02,1548522585,CL,-35.85,-71.6,22.0,0.0,3.8
17,albany,24.08,1548521520,US,42.65,-73.75,45.0,40.0,6.93
18,luderitz,64.41,1548522586,NA,-26.65,15.16,73.0,0.0,19.24
19,fortuna,66.2,1548520200,ES,38.18,-1.13,63.0,0.0,6.93
20,mar del plata,69.63,1548522478,AR,-46.43,-67.52,33.0,0.0,10.18
21,caravelas,82.27,1548522586,BR,-17.73,-39.27,100.0,0.0,10.29
22,bredasdorp,75.2,1548518400,ZA,-34.53,20.04,64.0,0.0,23.04
23,hilo,68.0,1548520080,US,19.71,-155.08,87.0,90.0,20.8
24,ntoum,84.2,1548520200,GA,0.39,9.76,74.0,20.0,5.82
25,ratanpur,66.52,1548522587,IN,23.11,87.07,75.0,88.0,4.92
26,mehamn,4.47,1548522319,NO,71.03,27.85,100.0,0.0,8.95
27,kraluv dvur,37.4,1548520200,CZ,49.95,14.03,93.0,90.0,18.34
28,bathsheba,82.4,1548518400,BB,13.22,-59.52,65.0,40.0,21.92
29,sur,71.74,1548522588,OM,22.57,59.53,99.0,0.0,8.16
30,leningradskiy,-2.33,1548522589,RU,69.38,178.42,84.0,88.0,9.17
31,castro,59.0,1548518400,CL,-42.48,-73.76,58.0,0.0,8.05
32,harsin,50.0,1548520200,IR,34.27,47.59,43.0,0.0,6.93
33,vaini,55.9,1548522590,IN,15.34,74.49,84.0,0.0,2.35
34,la cruz,76.11,1548522590,MX,23.92,-106.89,48.0,0.0,2.91
35,ushuaia,53.6,1548518400,AR,-54.81,-68.31,61.0,75.0,4.7
36,port blair,82.0,1548522591,IN,11.67,92.75,100.0,0.0,14.65
37,puerto ayora,80.6,1548518400,EC,-0.74,-90.35,78.0,90.0,14.99
38,beringovskiy,6.0,1548522591,RU,63.05,179.32,88.0,68.0,21.47
39,kavieng,82.77,1548522591,PG,-2.57,150.8,100.0,80.0,10.18
40,punta arenas,57.2,1548518400,CL,-53.16,-70.91,47.0,75.0,29.97
41,narsaq,41.0,1548517800,GL,60.91,-46.05,27.0,75.0,26.4
42,srednekolymsk,-27.98,1548522592,RU,67.46,153.71,44.0,48.0,2.68
43,ndele,,,,,,,,
44,chuy,86.82,1548522593,UY,-33.69,-53.46,83.0,36.0,7.49
45,atuona,76.11,1548522593,PF,-9.8,-139.03,100.0,48.0,13.98
46,los llanos de aridane,68.0,1548520200,ES,28.66,-17.92,64.0,40.0,3.36
47,korla,,,,,,,,
48,bluff,74.62,1548522594,AU,-23.58,149.07,83.0,76.0,9.4
49,college,24.08,1548520620,US,64.86,-147.8,100.0,75.0,2.24
50,takhtamygda,-12.37,1548522594,RU,54.1,123.57,56.0,12.0,5.14
51,maragogi,82.0,1548522324,BR,-9.01,-35.22,85.0,88.0,10.4
52,ponta do sol,77.73,1548522594,BR,-20.63,-46,75.0,56.0,7.61
53,kaitangata,58.02,1548522590,NZ,-46.28,169.85,73.0,0.0,16.44
54,belushya guba,,,,,,,,
55,vila,41.0,1548521400,IT,45.18,8.4,64.0,0.0,2.24
56,ngukurr,,,,,,,,
57,carnarvon,73.72,1548522596,ZA,-30.97,22.13,19.0,0.0,7.61
58,nikolskoye,10.4,1548520200,RU,59.7,30.79,92.0,75.0,6.71
59,new norfolk,60.8,1548520200,AU,-42.78,147.06,59.0,75.0,11.41
60,bolshaya dzhalga,32.01,1548522596,RU,45.97,42.7,91.0,92.0,16.44
61,kapaa,68.0,1548518160,US,22.08,-159.32,54.0,75.0,19.46
62,seoul,24.8,1548520200,KR,37.57,126.98,66.0,20.0,3.36
63,hermanus,78.36,1548522597,ZA,-34.42,19.24,41.0,0.0,9.62
64,hasaki,30.2,1548520200,JP,35.73,140.83,80.0,20.0,11.41
65,tsihombe,,,,,,,,
66,cape town,84.2,1548518400,ZA,-33.93,18.42,45.0,0.0,17.22
67,san cristobal,75.2,1548518400,EC,-0.39,-78.55,31.0,20.0,4.7
68,solnechnyy,-7.06,1548522599,RU,50.72,136.64,75.0,12.0,3.58
69,guantanamo,86.0,1548518400,BO,-16.14,-62.05,66.0,75.0,9.17
70,las palmas,62.6,1548518400,PE,-6.53,-76.35,290.0,40.0,3.36
71,port alfred,69.18,1548522600,ZA,-33.59,26.89,84.0,68.0,15.99
72,rikitea,80.61,1548522600,PF,-23.12,-134.97,97.0,0.0,14.32
73,lasa,62.6,1548520200,CY,34.92,32.53,77.0,40.0,5.82
74,esperance,75.2,1548518400,TT,10.24,-61.45,88.0,75.0,11.41
75,ewa beach,69.98,1548518220,US,21.32,-158.01,60.0,20.0,5.82
76,nome,60.98,1548521700,US,30.04,-94.42,62.0,90.0,9.17
77,tapiramuta,89.83,1548522602,BR,-11.85,-40.79,35.0,44.0,8.95
78,khatanga,-12.32,1548522602,RU,71.98,102.47,78.0,64.0,10.74
79,georgetown,86.0,1548518400,GY,6.8,-58.16,69.0,40.0,11.41
80,naze,83.4,1548522603,NG,5.43,7.07,67.0,8.0,7.94
81,nelson bay,75.2,1548521040,AU,-32.72,152.14,88.0,40.0,10.29
82,barrow,74.98,1548522604,AR,-38.31,-60.23,55.0,0.0,15.77
83,mazatlan,73.4,1548520860,MX,23.22,-106.42,64.0,20.0,3.36
84,berlevag,3.48,1548522605,NO,70.86,29.09,100.0,0.0,8.28
85,storsteinnes,15.8,1548521400,NO,69.24,19.23,51.0,36.0,18.34
86,tuktoyaktuk,-5.81,1548518400,CA,69.44,-133.03,83.0,90.0,17.22
87,okato,63.37,1548522606,NZ,-39.19,173.88,93.0,88.0,9.51
88,norman wells,1.4,1548518400,CA,65.28,-126.83,77.0,75.0,2.24
89,yellowknife,-4.01,1548518400,CA,62.45,-114.38,83.0,90.0,6.93
90,zhigansk,-37.75,1548522597,RU,66.77,123.37,0.0,12.0,3.58
91,nyurba,-19.07,1548522606,RU,63.29,118.35,82.0,68.0,2.68
92,olavarria,80.38,1548522374,AR,-36.89,-60.32,87.0,0.0,14.76
93,bairiki,,,,,,,,
94,klaksvik,35.6,1548521400,FO,62.23,-6.59,74.0,88.0,34.45
95,crab hill,,,,,,,,
